"","ctryname","aclpcode","cowcode","cowcode2","ccdcodelet","ccdcodenum","wdicode","imf_code","politycode","bankscode","dpicode","uncode","un_region","un_region_name","un_continent","un_continent_name","aclp_region","ccode"
"1926","Cuba",154,40,40,"CUB",41,"CUB",928,40,280,"CUB",192,29,"Caribbean",19,"Americas",7,40
"1989","Cyprus",187,352,352,"CYP",42,"CYP",423,352,290,"CYP",196,145,"Western Asia",142,"Asia",10,352
"2012","Cyprus",188,352,352,"CYP",42,"CYP",423,352,290,"CYP",196,145,"Western Asia",142,"Asia",10,352
"2038","Czech Republic",155,316,316,"CZE",43,"CZE",935,316,301,"CZE",203,151,"Eastern Europe",150,"Europe",9,316
"2054","Czechoslovakia",104,315,315,"CZK",44,"",934,315,300,"CSK",NA,151,"Eastern Europe",150,"Europe",9,315
"2101","Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",46,490,490,"ZAR",196,"ZAR",636,490,260,"ZAR",180,17,"Middle Africa",2,"Africa",1,490
"2150","Denmark",105,390,390,"DNK",48,"DNK",128,390,320,"DNK",208,154,"Northern Europe",150,"Europe",10,390
"2213","Djibouti",13,522,522,"DJI",46,"DJI",611,522,325,"DJI",262,14,"Eastern Africa",2,"Africa",1,522
"2245","Dominica",157,54,54,"DMA",47,"DMA",321,54,327,"DMA",212,29,"Caribbean",19,"Americas",8,54
"2276","Dominican Republic",54,42,42,"DOM",49,"DOM",243,42,330,"DOM",214,29,"Caribbean",19,"Americas",7,42
"2339","East Timor",860,860,860,"ETI",57,"TMP",NA,860,NA,"TMP",626,35,"South-Eastern Asia",142,"Asia",NA,860
"2346","Ecuador",71,130,130,"ECU",51,"ECU",248,130,340,"ECU",218,5,"South America",19,"Americas",7,130
"2409","Egypt",14,651,651,"EGY",52,"EGY",469,651,NA,"EGY",818,15,"Northern Africa",2,"Africa",6,651
"2472","El Salvador",55,92,92,"SLV",155,"SLV",253,92,350,"SLV",222,13,"Central America",19,"Americas",7,92
"2535","Equatorial Guinea",158,411,411,"GNQ",70,"GNQ",642,411,355,"GNQ",226,17,"Middle Africa",2,"Africa",1,411
"2576","Eritrea",160,531,531,"ERI",53,"ERI",643,531,375,"ERI",232,14,"Eastern Africa",2,"Africa",1,531
"2592","Estonia",159,366,366,"EST",55,"EST",939,366,360,"EST",233,154,"Northern Europe",150,"Europe",9,366
"2610","Ethiopia",15,530,530,"ETH",56,"ETH",644,530,370,"ET1",231,14,"Eastern Africa",2,"Africa",1,530
"2657","Ethiopia",194,530,530,"ETH",56,"ETH",644,529,370,"ETH",231,14,"Eastern Africa",2,"Africa",1,530
"2673","Fiji",130,950,950,"FJI",59,"FJI",819,950,1216,"FJI",242,54,"Melanesia",9,"Oceania",5,950
"2712","Finland",106,375,375,"FIN",58,"FIN",172,375,380,"FIN",246,154,"Northern Europe",150,"Europe",10,375
"2775","France",107,220,220,"FRA",60,"FRA",132,220,390,"FRA",250,155,"Western Europe",150,"Europe",10,220
"2838","Gabon",16,481,481,"GAB",62,"GAB",646,481,400,"GAB",266,17,"Middle Africa",2,"Africa",1,481
"2887","Gambia",17,420,420,"GMB",68,"GMB",648,420,410,"GMB",270,11,"Western Africa",2,"Africa",1,420
"2931","Georgia",161,372,372,"GEO",65,"GEO",915,372,415,"GEO",268,145,"Western Asia",142,"Asia",9,372
"2949","Germany",191,255,255,"DEU",45,"DEU",134,255,420,"DEU",276,155,"Western Europe",150,"Europe",10,255
"2968","Germany, East",109,265,265,"GDR",64,"",NA,265,430,"DDR",NA,155,"Western Europe",150,"Europe",9,265
"3009","Germany, West",108,260,260,"GDR",199,"DEU",134,260,431,"WGE",276,155,"Western Europe",150,"Europe",10,260
"3050","Ghana",18,452,452,"GHA",66,"GHA",652,452,440,"GHA",288,11,"Western Africa",2,"Africa",1,452
"3102","Greece",110,350,350,"GRC",71,"GRC",174,350,450,"GRC",300,39,"Southern Europe",150,"Europe",10,350
"3165","Grenada",56,55,55,"GRD",72,"GRD",328,55,455,"GRD",308,29,"Caribbean",19,"Americas",8,55
"3200","Guatemala",57,90,90,"GTM",73,"GTM",258,90,460,"GTM",320,13,"Central America",19,"Americas",7,90
"3263","Guinea",19,438,438,"GIN",67,"GIN",656,438,470,"GIN",324,11,"Western Africa",2,"Africa",1,438
"3314","Guinea-Bissau",20,404,404,"GNB",69,"GNB",654,404,475,"GNB",624,11,"Western Africa",2,"Africa",1,404
"3349","Guyana",72,110,110,"GUY",74,"GUY",336,110,480,"GUY",328,5,"South America",19,"Americas",8,110
"3392","Haiti",58,41,41,"HTI",77,"HTI",263,41,490,"HTI",332,29,"Caribbean",19,"Americas",8,41
"3455","Honduras",59,91,91,"HND",75,"HND",268,91,500,"HND",340,13,"Central America",19,"Americas",7,91
"3518","Hungary",111,310,310,"HUN",78,"HUN",944,310,62,"HUN",348,151,"Eastern Europe",150,"Europe",9,310
"3581","Iceland",112,395,395,"ISL",84,"ISL",176,395,510,"ISL",352,154,"Northern Europe",150,"Europe",10,395
"3644","India",80,750,750,"IND",80,"IND",534,750,520,"IND",356,34,"Southern Asia",142,"Asia",2,750
"3706","Indonesia",81,850,850,"IDN",79,"IDN",536,850,530,"IDN",360,35,"South-Eastern Asia",142,"Asia",4,850
"3766","Iran",82,630,630,"IRN",82,"IRN",429,630,540,"IRN",364,34,"Southern Asia",142,"Asia",6,630
"3829","Iraq",83,645,645,"IRQ",83,"IRQ",433,645,550,"IRQ",368,145,"Western Asia",142,"Asia",6,645
"3892","Ireland",113,205,205,"IRL",81,"IRL",178,205,1212,"IRL",372,154,"Northern Europe",150,"Europe",10,205
"3955","Israel",84,666,666,"ISR",85,"ISR",436,666,560,"ISR",376,145,"Western Asia",142,"Asia",6,666
"4016","Italy",114,325,325,"ITA",86,"ITA",136,325,570,"ITA",380,39,"Southern Europe",150,"Europe",10,325
"4079","Jamaica",60,51,51,"JAM",87,"JAM",343,51,590,"JAM",388,29,"Caribbean",19,"Americas",8,51
"4126","Japan",85,740,740,"JPN",89,"JPN",158,740,600,"JPN",392,30,"Eastern Asia",142,"Asia",10,740
"4189","Jordan",86,663,663,"JOR",88,"JOR",439,663,610,"JOR",400,145,"Western Asia",142,"Asia",6,663
"4252","Kazakhstan",162,705,705,"KAZ",90,"KAZ",916,705,615,"KAZ",398,143,"Central Asia",142,"Asia",9,705
"4270","Kenya",22,501,501,"KEN",91,"KEN",664,501,620,"KEN",404,14,"Eastern Africa",2,"Africa",1,501
"4316","Kiribati",163,946,946,"KIR",94,"KIR",826,946,625,"KIR",296,57,"Micronesia",9,"Oceania",5,946
"4346","Kuwait",137,690,690,"KWT",97,"KWT",443,690,640,"KWT",414,145,"Western Asia",142,"Asia",11,690
"4394","Kyrgyzstan",165,703,703,"KGZ",92,"KGZ",917,703,645,"KGZ",417,143,"Central Asia",142,"Asia",9,703
"4412","Laos",88,812,812,"LAO",98,"LAO",544,812,650,"LAO",418,35,"South-Eastern Asia",142,"Asia",4,812
"4468","Latvia",166,367,367,"LVA",108,"LVA",941,367,660,"LVA",428,154,"Northern Europe",150,"Europe",9,367
"4486","Lebanon",167,660,660,"LBN",99,"LBN",446,660,670,"LBN",422,145,"Western Asia",142,"Asia",6,660
"4549","Lesotho",23,570,570,"LSO",105,"LSO",666,570,680,"LSO",426,18,"Southern Africa",2,"Africa",1,570
"4592","Liberia",24,450,450,"LBR",100,"LBR",668,450,690,"LBR",430,11,"Western Africa",2,"Africa",1,450
"4655","Libyan Arab Jamahiriya",193,620,620,"LBY",101,"LBY",672,620,700,"LBY",434,15,"Northern Africa",2,"Africa",11,620
"4713","Liechtenstein",196,223,223,"LIE",103,"LIE",NA,223,705,"LIE",438,155,"Western Europe",150,"Europe",10,223
"4776","Lithuania",168,368,368,"LTU",106,"LTU",946,368,710,"LTU",440,154,"Northern Europe",150,"Europe",9,368
"4794","Luxembourg",115,212,212,"LUX",107,"LUX",137,212,720,"LUX",442,155,"Western Europe",150,"Europe",10,212
"4857","Macedonia",169,343,343,"MKD",115,"MKD",962,343,725,"MKD",807,39,"Southern Europe",150,"Europe",9,343
"4875","Madagascar",25,580,580,"MDG",111,"MDG",674,580,730,"MDG",450,14,"Eastern Africa",2,"Africa",1,580
"4924","Malawi",26,553,553,"MWI",123,"MWI",676,553,740,"MWI",454,14,"Eastern Africa",2,"Africa",1,553
"4969","Malaysia",89,820,820,"MYS",124,"MYS",548,820,750,"MYS",458,35,"South-Eastern Asia",142,"Asia",4,820
"5021","Maldives",170,781,781,"MDV",112,"MDV",556,781,760,"MDV",462,34,"Southern Asia",142,"Asia",2,781
"5065","Mali",27,432,432,"MLI",116,"MLI",678,432,770,"MLI",466,11,"Western Africa",2,"Africa",1,432
"5114","Malta",116,338,338,"MLT",117,"MLT",181,338,780,"MLT",470,39,"Southern Europe",150,"Europe",10,338
"5159","Marshall Islands",197,983,983,"MHL",114,"MHL",867,983,785,"MHL",584,57,"Micronesia",9,"Oceania",5,983
"5178","Mauritania",28,435,435,"MRT",121,"MRT",682,435,790,"MRT",478,11,"Western Africa",2,"Africa",1,435
"5227","Mauritius",29,590,590,"MUS",122,"MUS",684,590,800,"MUS",480,14,"Eastern Africa",2,"Africa",1,590
"5268","Mexico",61,70,70,"MEX",113,"MEX",273,70,810,"MEX",484,13,"Central America",19,"Americas",7,70
"5331","Micronesia, Federated States of",189,987,987,"FSN",61,"FSM",868,987,812,"FSM",583,57,"Micronesia",9,"Oceania",5,987
"5349","Moldova",171,359,359,"MDA",110,"MDA",921,359,813,"MDA",498,151,"Eastern Europe",150,"Europe",9,359
